"user_id","n_passed_all","n_passed_practical","progress_percent","n_discovered_all","n_viewed_all","n_started_practical","n_submissions","active_days","course_duration","median_gap_days","submission_correct_rate","activity_frequency","activity_frequency_practical","steps_per_day","last_step_id","risk_time_threshold","is_extreme","total_scores","total_score","score_per_day","certificate"
1,0,0,0,1,1,0,0,NA,1,NA,0,0.5,0,NA,31981,NA,FALSE,NA,0,NA,0
2,9,2,NA,9,10,2,2,NA,56.0602083333333,NA,1,0.175253478598995,0.0350506957197989,NA,32927,NA,FALSE,2,NA,NA,NA
3,87,29,NA,91,192,30,52,NA,118.323055555556,NA,0.557692307692308,1.60907713187588,0.435791723216385,NA,33127,NA,FALSE,32,NA,NA,NA
5,11,2,NA,11,12,4,4,NA,390.082523148148,NA,0.5,0.030684061009431,0.010228020336477,NA,31956,NA,FALSE,2,NA,NA,NA
7,1,0,0,1,1,0,0,NA,1,NA,0,0.5,0,NA,32815,NA,FALSE,NA,0,NA,0
8,84,9,NA,109,156,37,30,NA,9.99405092592593,NA,0.3,14.1894922127497,2.72874850245187,NA,31977,NA,FALSE,8,NA,NA,NA
9,3,0,0,3,4,0,0,NA,1,NA,0,2,0,NA,33537,NA,FALSE,NA,0,NA,0
11,0,0,0,1,1,1,0,NA,1,NA,0,0.5,0,NA,31986,NA,FALSE,NA,0,NA,0
14,3,0,0,4,9,1,1,NA,1,NA,0,4.5,0.5,NA,33983,NA,FALSE,NA,0,NA,0
16,196,76,NA,196,651,108,183,NA,896.849768518518,NA,0.420765027322404,0.725065621027192,0.203820289781837,NA,32816,NA,TRUE,89,NA,NA,NA
17,5,0,0,6,13,1,2,NA,1,NA,0,6.5,1,NA,33272,NA,FALSE,NA,0,NA,0
18,2,0,0,3,3,0,0,NA,1,NA,0,1.5,0,NA,32929,NA,FALSE,NA,0,NA,0
20,8,0,0,10,13,0,0,NA,1,NA,0,6.5,0,NA,32927,NA,FALSE,NA,0,NA,0
22,198,76,NA,198,492,89,123,NA,99.3243171296296,NA,0.617886178861789,4.90409517928025,1.22602379482006,NA,33685,NA,TRUE,88,NA,NA,NA
24,1,0,0,1,2,0,0,NA,1,NA,0,1,0,NA,32815,NA,FALSE,NA,0,NA,0
25,20,1,NA,26,40,10,5,NA,1,NA,0.2,20,2.5,NA,33379,NA,FALSE,1,NA,NA,NA
26,25,7,NA,27,32,7,23,NA,1,NA,0.304347826086957,16,11.5,NA,32176,NA,FALSE,6,NA,NA,NA
28,1,0,0,1,2,0,0,NA,1,NA,0,1,0,NA,32815,NA,FALSE,NA,0,NA,0
30,198,76,NA,198,512,147,198,NA,500.770497685185,NA,0.601010101010101,1.02038681501206,0.394602713617943,NA,33731,NA,TRUE,142,NA,NA,NA
31,24,4,NA,27,34,7,9,NA,1,NA,0.444444444444444,17,4.5,NA,33122,NA,FALSE,3,NA,NA,NA
32,13,3,NA,14,22,4,3,NA,133.994108796296,NA,1,0.162970074740059,0.022223192010008,NA,32191,NA,FALSE,2,NA,NA,NA
33,3,0,0,4,4,1,0,NA,1,NA,0,2,0,NA,32814,NA,FALSE,NA,0,NA,0
34,195,73,NA,198,1013,91,162,NA,375.817291666667,NA,0.475308641975309,2.68830550614992,0.429916576501764,NA,33902,NA,TRUE,86,NA,NA,NA
36,1,0,0,1,1,0,0,NA,1,NA,0,0.5,0,NA,32946,NA,FALSE,NA,0,NA,0
37,9,2,NA,10,15,4,2,NA,25.7733449074074,NA,1,0.560258721944374,0.0747011629259166,NA,120745,NA,FALSE,2,NA,NA,NA
38,0,0,0,1,1,0,0,NA,1,NA,0,0.5,0,NA,33686,NA,FALSE,NA,0,NA,0
39,198,76,NA,198,1160,87,106,NA,529.732858796296,NA,0.726415094339623,2.18565702268912,0.199723831383661,NA,32946,NA,TRUE,89,NA,NA,NA
41,1,0,0,3,5,0,0,NA,1,NA,0,2.5,0,NA,32219,NA,FALSE,NA,0,NA,0
42,1,0,0,1,1,0,0,NA,1,NA,0,0.5,0,NA,32927,NA,FALSE,NA,0,NA,0
43,89,6,NA,119,206,13,9,NA,702.524733796296,NA,0.666666666666667,0.292811311534708,0.0127927272029727,NA,33891,NA,FALSE,6,NA,NA,NA
44,11,2,NA,11,16,2,2,NA,1,NA,1,8,1,NA,31956,NA,FALSE,2,NA,NA,NA
46,65,28,NA,65,78,28,36,NA,7.0133912037037,NA,0.777777777777778,9.73370674377525,4.49248003558858,NA,32795,NA,FALSE,30,NA,NA,NA
47,8,0,0,10,12,0,0,NA,1,NA,0,6,0,NA,32927,NA,FALSE,NA,0,NA,0
48,0,0,0,1,1,0,0,NA,1,NA,0,0.5,0,NA,32929,NA,FALSE,NA,0,NA,0
49,49,8,NA,53,77,10,12,NA,354.239236111111,NA,0.666666666666667,0.216755336046033,0.0337800523708104,NA,33906,NA,FALSE,8,NA,NA,NA
50,24,8,NA,25,92,9,11,NA,647.323599537037,NA,0.727272727272727,0.141904444116636,0.0169668357095978,NA,32950,NA,FALSE,7,NA,NA,NA
